MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolArea,PoolQC,Fence,MiscFeature,YrSold,SaleType,SalePrice
RL,,11000,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1966,1966,Gable,Plywood,Plywood,BrkFace,200.0,Avg,Avg,CBlock,Avg,Avg,Mn,BLQ,740,Rec,184,1154,GasA,AboveAvg,Y,SBrkr,1154,0,1154,0,1,1,3,Avg,6,Typ,1,BelowAvg,Attchd,1966.0,RFn,2,480,Avg,Avg,Y,0,58,0,,MnPrv,,2009,WD,154000
RL,,36500,,IR1,Low,Inside,Mod,ClearCr,Norm,1Fam,1Story,5,5,1964,1964,Gable,Wd Sdng,Wd Sdng,BrkCmn,621.0,Avg,AboveAvg,CBlock,Avg,Avg,Av,Rec,812,Unf,812,1624,GasA,BelowAvg,Y,SBrkr,1582,0,1582,0,2,0,4,Avg,7,Typ,0,,Attchd,1964.0,Unf,2,390,Avg,Avg,N,168,198,0,,,,2006,WD,190000
RL,57.0,9764,,IR1,Lvl,other,Gtl,Sawyer,Feedr,1Fam,1Story,5,7,1967,2003,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,702,Unf,192,894,GasA,AboveAvg,Y,SBrkr,894,0,894,1,1,0,3,AboveAvg,5,Typ,0,,Attchd,1967.0,RFn,2,450,Avg,Avg,Y,0,0,0,,,,2008,WD,130000
RL,,7500,,IR1,Bnk,Inside,Gtl,Crawfor,Norm,1Fam,2Story,6,7,1942,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,547,Unf,224,771,GasA,BelowAvg,Y,SBrkr,753,741,1494,0,1,0,3,AboveAvg,7,Typ,2,AboveAvg,Attchd,1942.0,Unf,1,213,Avg,Avg,P,0,0,0,,,,2009,WD,177500
RL,80.0,9200,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,Rec,892,Unf,244,1136,GasA,Avg,Y,SBrkr,1136,0,1136,1,1,0,3,Avg,5,Typ,1,AboveAvg,Attchd,1965.0,RFn,1,384,Avg,Avg,Y,426,0,0,,,,2008,WD,140000
RL,72.0,11317,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,101.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,840,840,GasA,AboveAvg,Y,SBrkr,840,828,1668,0,2,1,3,AboveAvg,8,Typ,0,,Attchd,2003.0,RFn,2,500,Avg,Avg,Y,144,68,0,,,,2007,WD,180000
RL,80.0,8480,,Reg,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1963,1963,Hip,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,GLQ,630,Unf,340,970,GasA,Avg,Y,SBrkr,970,0,970,1,1,0,2,Avg,5,Typ,0,,Detchd,1996.0,Unf,2,624,Avg,Avg,Y,0,24,0,,,,2007,WD,132500
RM,65.0,11700,Pave,IR1,Lvl,Corner,Gtl,OldTown,Norm,1Fam,2Story,7,7,1880,2003,other,other,other,None,0.0,AboveAvg,Avg,other,Avg,BelowAvg,No,Unf,0,Unf,1240,1240,other,Avg,N,SBrkr,1320,1320,2640,0,1,1,4,AboveAvg,8,Typ,1,AboveAvg,Detchd,1950.0,Unf,4,864,Avg,Avg,N,181,0,0,,,,2009,WD,265979
RL,80.0,9760,,Reg,Lvl,Inside,Mod,NAmes,Norm,1Fam,2Story,6,6,1964,1964,Gable,HdBoard,HdBoard,BrkFace,360.0,Avg,Avg,CBlock,Avg,Avg,Gd,GLQ,674,LwQ,0,780,GasA,Avg,Y,SBrkr,798,813,1611,1,1,1,4,Avg,7,Typ,0,,Attchd,1964.0,RFn,2,442,Avg,Avg,Y,328,128,0,,,,2008,WD,167900
RL,93.0,10261,,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,318.0,Avg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,936,936,GasA,AboveAvg,Y,SBrkr,962,830,1792,1,2,1,3,Avg,8,Typ,1,Avg,Attchd,2000.0,Fin,2,451,Avg,Avg,Y,0,0,0,,,,2008,WD,186500
